Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE
Magikarp,Water,,200,20,10,55,15,20,80,1,FALSE
Magmar,Fire,,495,65,95,57,100,85,93,1,FALSE
Magmortar,Fire,,540,75,95,67,125,95,83,4,FALSE
Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE
Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE
Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,FALSE
Makuhita,Fighting,,237,72,60,30,20,30,25,3,FALSE
Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,FALSE
Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,FALSE
Manaphy,Water,,600,100,100,100,100,100,100,4,FALSE
Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,FALSE
Manectric,Electric,,475,70,75,60,105,60,105,3,FALSE
Mega Manectric,Electric,,575,70,75,80,135,80,135,3,FALSE
Mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE
Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE
Mantyke,Water,Flying,345,45,20,50,60,120,50,4,FALSE
Maractus,Grass,,461,75,86,67,106,67,60,5,FALSE
Mareep,Electric,,280,55,40,40,65,45,35,2,FALSE
Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE
Marowak,Ground,,425,60,80,110,50,80,45,1,FALSE
Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE
Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,FALSE
Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,FALSE
MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,FALSE
Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE
Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE
Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,FALSE
Meganium,Grass,,525,80,82,100,83,100,80,2,FALSE
Meloetta Aria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,FALSE
Meloetta Pirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,FALSE
MeowsticFemale,Psychic,,466,74,48,76,83,81,104,6,FALSE
MeowsticMale,Psychic,,466,74,48,76,83,81,104,6,FALSE
Meowth,Normal,,290,40,45,35,40,40,90,1,FALSE
Mesprit,Psychic,,580,80,105,105,105,105,80,4,TRUE
Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,FALSE
Mega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,FALSE
Metang,Steel,Psychic,420,60,75,100,55,80,50,3,FALSE
Metapod,Bug,,205,50,20,55,25,25,30,1,FALSE
Mew,Psychic,,600,100,100,100,100,100,100,1,FALSE
Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE
Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE
Mega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,TRUE
Mienfoo,Fighting,,350,45,85,50,55,50,65,5,FALSE
Mienshao,Fighting,,510,65,125,60,95,60,105,5,FALSE
Mightyena,Dark,,420,70,90,70,60,60,70,3,FALSE
Milotic,Water,,540,95,60,79,100,125,81,3,FALSE
Miltank,Normal,,490,95,80,105,40,70,100,2,FALSE
Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,FALSE
Minccino,Normal,,300,55,50,40,40,40,75,5,FALSE
Minun,Electric,,405,60,40,50,75,85,95,3,FALSE
Misdreavus,Ghost,,435,60,60,60,85,85,85,2,FALSE
Mismagius,Ghost,,495,60,60,60,105,105,105,4,FALSE
Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE
Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,FALSE
Mothim,Bug,Flying,424,70,94,50,94,50,66,4,FALSE
Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE
Mudkip,Water,,310,50,70,50,50,50,40,3,FALSE
Muk,Poison,,500,105,105,75,65,100,50,1,FALSE
Munchlax,Normal,,390,135,85,40,40,85,5,4,FALSE
Munna,Psychic,,292,76,25,45,67,55,24,5,FALSE
Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE
Musharna,Psychic,,487,116,55,85,107,95,29,5,FALSE
Natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE
Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE
Nidoran♂,Poison,,273,46,57,40,40,40,50,1,FALSE
Nidoran♀,Poison,,275,55,47,52,40,40,41,1,FALSE
Nidorina,Poison,,365,70,62,67,55,55,56,1,FALSE
Nidorino,Poison,,365,61,72,57,55,55,65,1,FALSE
Nincada,Bug,Ground,266,31,45,90,30,30,40,3,FALSE
Ninetales,Fire,,505,73,76,75,81,100,100,1,FALSE
Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,FALSE
Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE
Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,FALSE
Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,FALSE
Nosepass,Rock,,375,30,45,135,45,90,30,3,FALSE
Numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE
Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,FALSE
Octillery,Water,,480,75,105,75,105,75,45,2,FALSE
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE
Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE
Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE
Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE
Oshawott,Water,,308,55,55,45,63,45,45,5,FALSE
Pachirisu,Electric,,405,60,45,70,45,90,95,4,FALSE
Palkia,Water,Dragon,680,90,120,100,150,120,100,4,TRUE
Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,FALSE
Pancham,Fighting,,348,67,82,62,46,48,43,6,FALSE
Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,FALSE
Panpour,Water,,316,50,53,48,53,48,64,5,FALSE
Pansage,Grass,,316,50,53,48,53,48,64,5,FALSE
Pansear,Fire,,316,50,53,48,53,48,64,5,FALSE
Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE
Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE
Patrat,Normal,,255,45,55,39,35,39,42,5,FALSE
Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,FALSE
Pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE
Persian,Normal,,440,65,70,60,65,65,115,1,FALSE
Petilil,Grass,,280,45,35,50,70,50,30,5,FALSE
Phanpy,Ground,,330,90,60,60,40,40,40,2,FALSE
Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,FALSE
Phione,Water,,480,80,80,80,80,80,80,4,FALSE
Pichu,Electric,,205,20,40,15,35,35,60,2,FALSE
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE
Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,FALSE
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE
Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
Pidove,Normal,Flying,264,50,55,50,36,30,43,5,FALSE
Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,FALSE
Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE
Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE
Pineco,Bug,,290,50,65,90,35,35,15,2,FALSE
Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE
Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,FALSE
Piplup,Water,,314,53,51,53,61,56,40,4,FALSE
Plusle,Electric,,405,60,50,40,85,75,95,3,FALSE
Politoed,Water,,500,90,75,75,90,100,70,2,FALSE
Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE
Poliwhirl,Water,,385,65,65,65,50,50,90,1,FALSE
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE
Ponyta,Fire,,410,50,85,55,65,65,90,1,FALSE
Poochyena,Dark,,220,35,55,35,30,30,35,3,FALSE
Porygon,Normal,,395,65,60,70,85,75,40,1,FALSE
Porygon2,Normal,,515,85,80,90,105,95,60,2,FALSE
Porygon-Z,Normal,,535,85,80,70,135,75,90,4,FALSE
Primeape,Fighting,,455,65,105,60,60,70,95,1,FALSE
Prinplup,Water,,405,64,66,68,81,76,50,4,FALSE
Probopass,Rock,Steel,525,60,55,145,75,150,40,4,FALSE
Psyduck,Water,,320,50,52,48,65,50,55,1,FALSE
Pumpkaboo Average Size,Ghost,Grass,335,49,66,70,44,55,51,6,FALSE
Pumpkaboo Large Size,Ghost,Grass,335,54,66,70,44,55,46,6,FALSE
Pumpkaboo Small Size,Ghost,Grass,335,44,66,70,44,55,56,6,FALSE
Pumpkaboo Super Size,Ghost,Grass,335,59,66,70,44,55,41,6,FALSE
Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE
Purrloin,Dark,,281,41,50,37,50,37,66,5,FALSE
Purugly,Normal,,452,71,82,64,64,59,112,4,FALSE
Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,FALSE
Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE
Quilava,Fire,,405,58,64,58,80,65,80,2,FALSE
Quilladin,Grass,,405,61,78,95,56,58,57,6,FALSE
Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE
Raichu,Electric,,485,60,90,55,90,80,110,1,FALSE
Raikou,Electric,,580,90,85,75,115,100,115,2,TRUE
Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,FALSE
Rampardos,Rock,,495,97,165,60,65,50,58,4,FALSE
Rapidash,Fire,,500,65,100,70,80,80,105,1,FALSE
Raticate,Normal,,413,55,81,60,50,70,97,1,FALSE
Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE
Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,TRUE
Mega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,TRUE
Regice,Ice,,580,80,50,100,100,200,50,3,TRUE
Regigigas,Normal,,670,110,160,110,80,110,100,4,TRUE
Regirock,Rock,,580,80,100,200,50,100,50,3,TRUE
Registeel,Steel,,580,80,75,150,75,150,50,3,TRUE
Relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE
Remoraid,Water,,300,35,65,35,65,35,65,2,FALSE
Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,TRUE
Reuniclus,Psychic,,490,110,65,75,125,85,30,5,FALSE
Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE
Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE
Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,FALSE
Riolu,Fighting,,285,40,70,40,35,40,60,4,FALSE
Roggenrola,Rock,,280,55,75,85,25,25,15,5,FALSE
Roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE
Roserade,Grass,Poison,515,60,70,65,125,105,90,4,FALSE
Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,FALSE
Fan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,FALSE
Frost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,FALSE
Heat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,FALSE
Mow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,FALSE
Wash Rotom,Electric,Water,520,50,65,107,105,107,86,4,FALSE
Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,FALSE
Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE
SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,FALSE
Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,FALSE
Mega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,FALSE
Samurott,Water,,528,95,100,85,108,70,70,5,FALSE
Sandile,Ground,Dark,292,50,72,35,35,35,65,5,FALSE
Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE
Sandslash,Ground,,450,75,100,110,45,55,65,1,FALSE
Sawk,Fighting,,465,75,125,75,30,75,85,5,FALSE
Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,FALSE
Scatterbug,Bug,,200,38,35,40,27,25,35,6,FALSE
Sceptile,Grass,,530,70,85,65,105,85,120,3,FALSE
Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,FALSE
Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE
ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,FALSE
Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,FALSE
Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,FALSE
Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,FALSE
Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE
Seadra,Water,,440,55,65,95,95,45,85,1,FALSE
Seaking,Water,,450,80,92,65,65,80,68,1,FALSE
Sealeo,Ice,Water,410,90,60,70,75,70,45,3,FALSE
Seedot,Grass,,220,40,40,50,30,30,30,3,FALSE
Seel,Water,,325,65,45,55,45,70,45,1,FALSE
Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,FALSE
Sentret,Normal,,215,35,46,34,35,45,20,2,FALSE
Serperior,Grass,,528,75,75,95,75,95,113,5,FALSE
Servine,Grass,,413,60,60,75,60,75,83,5,FALSE
Seviper,Poison,,458,73,100,60,100,60,65,3,FALSE
Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,FALSE
Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE
SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,FALSE
Shaymin Land Forme,Grass,,600,100,100,100,100,100,100,4,TRUE
Shaymin Sky Forme,Grass,Flying,600,100,103,75,120,75,127,4,TRUE
Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,FALSE
Shelgon,Dragon,,420,65,95,100,60,50,50,3,FALSE
Shellder,Water,,305,30,65,100,45,25,40,1,FALSE
Shellos,Water,,325,76,48,48,57,62,34,4,FALSE
Shelmet,Bug,,305,50,40,85,40,65,25,5,FALSE
Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,FALSE
Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE
Shinx,Electric,,263,45,65,34,40,34,45,4,FALSE
Shroomish,Grass,,295,60,40,60,40,60,35,3,FALSE
Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE
Shuppet,Ghost,,295,44,75,35,63,33,45,3,FALSE
Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,FALSE
Silcoon,Bug,,205,50,35,55,25,25,15,3,FALSE
Simipour,Water,,498,75,98,63,98,63,101,5,FALSE
Simisage,Grass,,498,75,98,63,98,63,101,5,FALSE
Simisear,Fire,,498,75,98,63,98,63,101,5,FALSE
Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE
Skiddo,Grass,,350,66,65,48,62,57,52,6,FALSE
Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE
Skitty,Normal,,260,50,45,45,35,35,50,3,FALSE
Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,FALSE
Skrelp,Poison,Water,320,50,60,60,60,60,30,6,FALSE
Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,FALSE
Slaking,Normal,,670,150,160,100,95,65,100,3,FALSE
Slakoth,Normal,,280,60,60,60,35,35,30,3,FALSE
Sliggoo,Dragon,,452,68,75,53,83,113,60,6,FALSE
Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE
Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,FALSE
Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE
Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE
Slugma,Fire,,250,40,40,40,70,40,20,2,FALSE
Slurpuff,Fairy,,480,82,80,86,85,75,72,6,FALSE
Smeargle,Normal,,250,55,20,35,20,45,75,2,FALSE
Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE
Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE
Snivy,Grass,,308,45,45,55,45,55,63,5,FALSE
Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE
Snorunt,Ice,,300,50,50,50,50,50,50,3,FALSE
Snover,Grass,Ice,334,60,62,50,62,60,40,4,FALSE
Snubbull,Fairy,,300,60,80,50,40,40,30,2,FALSE
Solosis,Psychic,,290,45,30,40,105,50,20,5,FALSE
Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,FALSE
Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE
Spewpa,Bug,,213,45,22,60,27,30,29,6,FALSE
Spheal,Ice,Water,290,70,40,50,55,50,25,3,FALSE
Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE
Spinda,Normal,,360,60,60,60,60,60,60,3,FALSE
Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,FALSE
Spoink,Psychic,,330,60,25,35,70,80,60,3,FALSE
Spritzee,Fairy,,341,78,52,60,63,65,23,6,FALSE
Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE
Stantler,Normal,,465,73,95,62,85,65,85,2,FALSE
Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,FALSE
Staravia,Normal,Flying,340,55,75,50,40,40,80,4,FALSE
Starly,Normal,Flying,245,40,55,30,30,30,60,4,FALSE
Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE
Staryu,Water,,340,30,45,55,70,55,85,1,FALSE
Steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE
Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,FALSE
Stoutland,Normal,,500,85,110,90,45,90,80,5,FALSE
Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,FALSE
Stunky,Poison,Dark,329,63,63,47,41,41,74,4,FALSE
Sudowoodo,Rock,,410,70,100,115,30,65,30,2,FALSE
Suicune,Water,,580,100,75,115,90,115,85,2,TRUE
Sunflora,Grass,,425,75,75,55,105,85,30,2,FALSE
Sunkern,Grass,,180,30,30,30,30,30,30,2,FALSE
Surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE
Swablu,Normal,Flying,310,45,40,60,40,75,50,3,FALSE
Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,FALSE
Swalot,Poison,,467,100,73,83,73,83,55,3,FALSE
Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE
Mega Swampert,Water,Ground,635,100,150,110,95,110,70,3,FALSE
Swanna,Water,Flying,473,75,87,63,87,63,98,5,FALSE
Swellow,Normal,Flying,430,60,85,60,50,50,125,3,FALSE
Swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE
Swirlix,Fairy,,341,62,48,66,59,57,49,6,FALSE
Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,FALSE
Sylveon,Fairy,,525,95,65,65,110,130,60,6,FALSE
Taillow,Normal,Flying,270,40,55,30,30,30,85,3,FALSE
Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,FALSE
Tangela,Grass,,435,65,55,115,100,40,60,1,FALSE
Tangrowth,Grass,,535,100,100,125,110,50,50,4,FALSE
Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE
Teddiursa,Normal,,330,60,80,50,50,50,40,2,FALSE
Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE
Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE
Tepig,Fire,,308,65,63,45,45,45,45,5,FALSE
Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,TRUE
Throh,Fighting,,465,120,100,85,30,85,45,5,FALSE
Thundurus Incarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,TRUE
Thundurus Therian Forme,Electric,Flying,580,79,105,70,145,80,101,5,TRUE
Timburr,Fighting,,305,75,80,55,25,35,35,5,FALSE
Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,FALSE
Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,FALSE
Togepi,Fairy,,245,35,20,65,40,65,20,2,FALSE
Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE
Torchic,Fire,,310,45,60,40,70,50,45,3,FALSE
Torkoal,Fire,,470,70,85,140,85,70,20,3,FALSE
Tornadus Incarnate Forme,Flying,,580,79,115,70,125,80,111,5,TRUE
Tornadus Therian Forme,Flying,,580,79,100,80,110,90,121,5,TRUE
Torterra,Grass,Ground,525,95,109,105,75,85,56,4,FALSE
Totodile,Water,,314,50,65,64,44,48,43,2,FALSE
Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,FALSE
Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,FALSE
Trapinch,Ground,,290,45,100,45,45,45,10,3,FALSE
Treecko,Grass,,310,40,45,35,65,55,70,3,FALSE
Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,FALSE
Tropius,Grass,Flying,460,99,68,83,72,87,51,3,FALSE
Trubbish,Poison,,329,50,50,62,40,62,65,5,FALSE
Turtwig,Grass,,318,55,68,64,45,55,31,4,FALSE
Tympole,Water,,294,50,50,40,50,40,64,5,FALSE
Tynamo,Electric,,275,35,55,40,45,40,60,5,FALSE
Typhlosion,Fire,,534,78,84,78,109,85,100,2,FALSE
Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE
Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,FALSE
Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,FALSE
Tyrogue,Fighting,,210,35,35,35,35,35,35,2,FALSE
Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,FALSE
Umbreon,Dark,,525,95,65,110,60,130,65,2,FALSE
Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,FALSE
Unown,Psychic,,336,48,72,48,72,48,48,2,FALSE
Ursaring,Normal,,500,90,130,75,75,75,55,2,FALSE
Uxie,Psychic,,580,75,75,130,75,130,95,4,TRUE
Vanillish,Ice,,395,51,65,65,80,75,59,5,FALSE
Vanillite,Ice,,305,36,50,50,65,60,44,5,FALSE
Vanilluxe,Ice,,535,71,95,85,110,95,79,5,FALSE
Vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE
Venipede,Bug,Poison,260,30,45,59,30,39,57,5,FALSE
Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE
Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE
Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,FALSE
Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,FALSE
Victini,Psychic,Fire,600,100,100,100,100,100,100,5,TRUE
Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE
Vigoroth,Normal,,440,80,80,80,55,55,90,3,FALSE
Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,TRUE
Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,FALSE
Volbeat,Bug,,400,65,73,55,47,75,85,3,FALSE
Volcanion,Fire,Water,600,80,110,120,130,90,70,6,TRUE
Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,FALSE
Voltorb,Electric,,330,40,30,50,55,55,100,1,FALSE
Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,FALSE
Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE
Wailmer,Water,,400,130,70,35,70,35,60,3,FALSE
Wailord,Water,,500,170,90,45,90,45,60,3,FALSE
Walrein,Ice,Water,530,110,80,90,95,90,65,3,FALSE
Wartortle,Water,,405,59,63,80,65,80,58,1,FALSE
Watchog,Normal,,420,60,85,69,60,69,77,5,FALSE
Weavile,Dark,Ice,510,70,120,65,45,85,125,4,FALSE
Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE
Weezing,Poison,,490,65,90,120,85,70,60,1,FALSE
Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,FALSE
Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,FALSE
Whiscash,Water,Ground,468,110,78,73,76,71,60,3,FALSE
Whismur,Normal,,240,64,51,23,51,23,28,3,FALSE
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE
Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE
Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,FALSE
Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,FALSE
Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE
Wormadam Plant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,FALSE
Wormadam Sandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,FALSE
Wormadam Trash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,FALSE
Wurmple,Bug,,195,45,45,35,20,30,20,3,FALSE
Wynaut,Psychic,,260,95,23,48,23,48,23,3,FALSE
Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE
Xerneas,Fairy,,680,126,131,95,131,98,99,6,TRUE
Yamask,Ghost,,303,38,30,85,55,65,30,5,FALSE
Yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE
Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,FALSE
Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,TRUE
Zangoose,Normal,,458,73,115,60,60,60,90,3,FALSE
Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE
Zebstrika,Electric,,497,75,100,63,80,63,116,5,FALSE
Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,TRUE
Zigzagoon,Normal,,240,38,30,41,30,41,60,3,FALSE
Zoroark,Dark,,510,60,105,60,120,60,105,5,FALSE
Zorua,Dark,,330,40,65,40,80,40,65,5,FALSE
Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE
Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,FALSE
Zygarde 50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,TRUE
